Date,GMT+8,Source timestamp,Source,14. Hubei,15. Rest of mainland China,16. Hong Kong,Philippines
2020/01/20,-,,-,-,0,0,
2020/01/21,0,2020/01/21 0000 +0800,http://www.nhc.gov.cn/yjb/s3578/202001/930c021cdd1f46dc832fc27e0cc465c8.shtml,0,0,0,
2020/01/22,0,2020/01/22 0000 +0800,http://www.nhc.gov.cn/yjb/s3578/202001/a3c8b5144067417889d8760254b1a7ca.shtml,9,0,0,
2020/01/23,0,2020/01/23 0000 +0800,http://www.nhc.gov.cn/yjb/s3578/202001/a3c8b5144067417889d8760254b1a7ca.shtml,17,1,0,
2020/01/24,0,2020/01/24 0000 +0800,http://www.nhc.gov.cn/yjb/s3578/202001/c5da49c4c5bf4bcfb320ec2036480627.shtml,24,1,0,
2020/01/25,1300,2020/01/25 0000 -0500,JHU CSSE,39,2,0,
2020/01/26,1100,2020/01/25 2200 -0500,JHU CSSE,52,4,0,
2020/01/27,1200,2020/01/26 2300 -0500,JHU CSSE,76,4,0,
2020/01/28,930,2020/01/26 2030 -0500,JHU CSSE,100,7,0,
2020/01/30,19:16,2020/01/29 2100 -0500,JHU CSSE,162,8,0,
2020/02/02,19:39,,JHU CSSE,294,10,0,1
2020/02/05,23:44,,JHU CSSE,479,13,1,1
